Move,Type,PP,Power,Acc
Absorb,Grass,20,20,100%
Acid,Poison,30,40,100%
Acid Armor,Poison,40,N/A,N/A
Agility,Psychic,30,N/A,N/A
Amnesia,Psychic,20,N/A,N/A
Aurora Beam,Ice,20,65,100%
Barrage,Normal,20,15,85%
Barrier,Psychic,30,N/A,N/A
Bide,Normal,10,Var Dmg,100%
Bind,Normal,20,15,75%
Bite,Normal,25,60,100%
Blizzard,Ice,5,120,90%
Body Slam,Normal,15,85,100%
Bone Club,Ground,20,65,85%
Bonemerang,Ground,10,50,90%
Bubble,Water,30,20,100%
Bubblebeam,Water,20,65,100%
Clamp,Water,10,35,75%
Comet Punch,Normal,15,18,85%
Confuse Ray,Ghost,10,N/A,100%
Confusion,Psychic,25,50,100%
Constrict,Normal,35,10,100%
Conversion,Normal,30,N/A,N/A
Counter,Fighting,20,Var Dmg,100%
Crabhammer,Water,10,90,85%
Cut,Normal,30,50,95%
Defense Curl,Normal,40,N/A,N/A
Dig,Ground,10,100,100%
Disable,Normal,20,N/A,55%
Dizzy Punch,Normal,10,70,100%
Double Kick,Fighting,30,30,100%
Double Team,Normal,15,N/A,N/A
Double-edge,Normal,15,100,100%
Doubleslap,Normal,10,15,85%
Dragon Rage,Dragon,10,Set,100%
Dream Eater,Psychic,15,100,100%
Drill Peck,Flying,20,80,100%
Earthquake,Ground,10,100,100%
Egg Bomb,Normal,10,100,75%
Ember,Fire,25,40,100%
Explosion,Normal,5,170,100%
Fire Blast,Fire,5,120,85%
Fire Punch,Fire,15,75,100%
Fire Spin,Fire,15,15,70%
Fissure,Ground,5,KO,30%
Flamethrower,Fire,15,95,100%
Flash,Normal,20,N/A,70%
Fly,Flying,15,70,95%
Focus Energy,Normal,30,N/A,N/A
Fury Attack,Normal,20,15,85%
Fury Swipes,Normal,15,10,80%
Glare,Normal,30,N/A,75%
Growl,Normal,40,N/A,100%
Growth,Normal,40,N/A,N/A
Guillotine,Normal,5,KO,30%
Gust,Normal,35,40,100%
Harden,Normal,30,N/A,N/A
Haze,Ice,30,N/A,N/A
Headbutt,Normal,15,70,100%
